SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,National or State Highway
Sydney - Ryde,Ryde,Major Cities of Australia,National or State Highway
Capital Region,Eurobodalla,Outer Regional Australia,National or State Highway
South Australia - South East,Renmark Paringa,Outer Regional Australia,Sub-arterial Road
South Australia - South East,Loxton Waikerie,Outer Regional Australia,National or State Highway
Murray,Federation,Inner Regional Australia,Local Road
West and North West,Central Coast (Tas.),Outer Regional Australia,National or State Highway
Central West,Orange,Inner Regional Australia,National or State Highway
Murray,Berrigan,Outer Regional Australia,Arterial Road
Adelaide - Central and Hills,Norwood Payneham and St Peters,Major Cities of Australia,Local Road
Hobart,Sorell,Outer Regional Australia,National or State Highway
Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia,Arterial Road
Capital Region,Snowy Monaro,Inner Regional Australia,National or State Highway
Capital Region,Yass Valley,Major Cities of Australia,National or State Highway
Northern Territory - Outback,MacDonnell,Very Remote Australia,Sub-arterial Road
Riverina,Wagga Wagga,Inner Regional Australia,National or State Highway
Adelaide - South,Onkaparinga,Major Cities of Australia,Sub-arterial Road
Launceston and North East,George Town,Outer Regional Australia,National or State Highway
Sydney - Outer South West,Wollondilly,Inner Regional Australia,National or State Highway
Melbourne - North East,Banyule,Major Cities of Australia,Sub-arterial Road
Adelaide - North,Salisbury,Major Cities of Australia,National or State Highway
Capital Region,Snowy Monaro,Outer Regional Australia,Arterial Road
Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Major Cities of Australia,Local Road
Riverina,Leeton,Outer Regional Australia,Local Road
Murray,Balranald,Remote Australia,Arterial Road
Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,Arterial Road
Launceston and North East,Dorset,Outer Regional Australia,Arterial Road
Gold Coast,Scenic Rim,Inner Regional Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Collector Road
Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Local Road
Richmond - Tweed,Kyogle,Inner Regional Australia,Arterial Road
Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,National or State Highway
Moreton Bay - South,Moreton Bay,Major Cities of Australia,Sub-arterial Road
Ipswich,Brisbane,Major Cities of Australia,National or State Highway
South Australia - South East,Renmark Paringa,Outer Regional Australia,National or State Highway
Sydney - Ryde,Parramatta,Major Cities of Australia,Local Road
Melbourne - North West,Hume,Major Cities of Australia,National or State Highway
New England and North West,Tamworth,Inner Regional Australia,Arterial Road
Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Access road
Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Arterial Road
Mid North Coast,Port Macquarie-Hastings,Outer Regional Australia,National or State Highway
Hume,Wangaratta,Inner Regional Australia,Local Road
Murray,Murray River,Outer Regional Australia,Sub-arterial Road
Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Collector Road
South East,Kingborough,Outer Regional Australia,Sub-arterial Road
Northern Territory - Outback,Victoria Daly,Very Remote Australia,National or State Highway
Geelong,Greater Geelong,Major Cities of Australia,National or State Highway
Illawarra,Shellharbour,Major Cities of Australia,Arterial Road
Barossa - Yorke - Mid North,Barunga West,Outer Regional Australia,Local Road
Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Arterial Road
South Australia - South East,Wattle Range,Outer Regional Australia,Sub-arterial Road
Latrobe - Gippsland,Baw Baw,Inner Regional Australia,National or State Highway
Sydney - Ryde,Hornsby,Major Cities of Australia,Local Road
Launceston and North East,Launceston,Inner Regional Australia,National or State Highway
South Australia - Outback,Unincorporated SA,Remote Australia,Arterial Road
Melbourne - Inner,Merri-bek,Major Cities of Australia,Sub-arterial Road
South Australia - South East,Alexandrina,Inner Regional Australia,Local Road
Barossa - Yorke - Mid North,Copper Coast,Outer Regional Australia,Arterial Road
Ipswich,Somerset,Inner Regional Australia,National or State Highway
West and North West,Burnie,Outer Regional Australia,Collector Road
Riverina,Lockhart,Inner Regional Australia,Arterial Road
South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Arterial Road
New England and North West,Narrabri,Outer Regional Australia,National or State Highway
South Australia - South East,Southern Mallee,Remote Australia,Local Road
Murray,Greater Hume,Inner Regional Australia,Sub-arterial Road
New England and North West,Gwydir,Outer Regional Australia,Local Road
Sydney - Outer South West,Wollondilly,Inner Regional Australia,Local Road
New England and North West,Glen Innes Severn,Inner Regional Australia,Local Road
Far West and Orana,Dubbo,Outer Regional Australia,Arterial Road
Sydney - Baulkham Hills and Hawkesbury,Hornsby,Inner Regional Australia,Arterial Road
West and North West,Kentish,Outer Regional Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Goyder,Inner Regional Australia,Local Road
Adelaide - South,Marion,Major Cities of Australia,National or State Highway
Melbourne - North West,Brimbank,Major Cities of Australia,National or State Highway
Ipswich,Brisbane,Major Cities of Australia,Local Road
Melbourne - Outer East,Maroondah,Major Cities of Australia,National or State Highway
Melbourne - Inner,Melbourne,Major Cities of Australia,Collector Road
Adelaide - North,Adelaide Plains,Inner Regional Australia,National or State Highway
South Australia - Outback,Flinders Ranges,Outer Regional Australia,Arterial Road
Adelaide - North,Adelaide Plains,Inner Regional Australia,Collector Road
Barossa - Yorke - Mid North,Light,Inner Regional Australia,Local Road
Shepparton,Moira,Outer Regional Australia,National or State Highway
Hume,Murrindindi,Inner Regional Australia,Access road
North West,West Wimmera,Outer Regional Australia,National or State Highway
Latrobe - Gippsland,South Gippsland,Inner Regional Australia,Local Road
Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Collector Road
New England and North West,Tenterfield,Outer Regional Australia,Local Road
Melbourne - Inner East,Whitehorse,Major Cities of Australia,National or State Highway
Geelong,Greater Geelong,Inner Regional Australia,Sub-arterial Road
Cairns,Mareeba,Outer Regional Australia,National or State Highway
Central Coast,Central Coast (NSW),Inner Regional Australia,National or State Highway
Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Sub-arterial Road
Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia,Local Road
South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,National or State Highway
Bendigo,Loddon,Inner Regional Australia,Arterial Road
Capital Region,Yass Valley,Inner Regional Australia,Arterial Road
Riverina,Wagga Wagga,Inner Regional Australia,Local Road
North West,Northern Grampians,Outer Regional Australia,Collector Road
West and North West,West Coast,Remote Australia,Arterial Road
Riverina,Junee,Inner Regional Australia,Access road
South Australia - South East,Victor Harbor,Inner Regional Australia,National or State Highway
Adelaide - North,Tea Tree Gully,Major Cities of Australia,Local Road
Adelaide - Central and Hills,Burnside,Major Cities of Australia,Local Road
Northern Territory - Outback,Coomalie ,Remote Australia,National or State Highway
South Australia - South East,Victor Harbor,Inner Regional Australia,Collector Road
Melbourne - Outer East,Manningham,Major Cities of Australia,Sub-arterial Road
Warrnambool and South West,Corangamite,Outer Regional Australia,Arterial Road
Warrnambool and South West,Southern Grampians,Outer Regional Australia,Sub-arterial Road
Sydney - Ryde,Hunters Hill,Major Cities of Australia,Arterial Road
Geelong,Golden Plains,Inner Regional Australia,Access road
Melbourne - West,Brimbank,Major Cities of Australia,Collector Road
Barossa - Yorke - Mid North,Wakefield,Inner Regional Australia,National or State Highway
Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia,Local Road
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,National or State Highway
Hume,Benalla,Outer Regional Australia,Sub-arterial Road
Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,Local Road
Murray,Greater Hume,Inner Regional Australia,Access road
Adelaide - North,Playford,Inner Regional Australia,Sub-arterial Road
Central Queensland,Banana,Outer Regional Australia,Sub-arterial Road
Cairns,Douglas,Outer Regional Australia,Collector Road
Sydney - North Sydney and Hornsby,Mosman,Major Cities of Australia,Arterial Road
Brisbane - East,Redland,Major Cities of Australia,Collector Road
South East,Glamorgan-Spring Bay,Outer Regional Australia,National or State Highway
Central West,Lithgow,Inner Regional Australia,Arterial Road
Sydney - Outer West and Blue Mountains,Hawkesbury,Major Cities of Australia,Arterial Road
Sydney - Outer West and Blue Mountains,Penrith,Inner Regional Australia,Arterial Road
Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,National or State Highway
Sydney - Inner West,Inner West,Major Cities of Australia,Arterial Road
Illawarra,Wollongong,Major Cities of Australia,Local Road
South Australia - South East,Alexandrina,Inner Regional Australia,Sub-arterial Road
South East,Southern Midlands,Outer Regional Australia,National or State Highway
Hume,Towong,Outer Regional Australia,Collector Road
Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia,Sub-arterial Road
Cairns,Cassowary Coast,Outer Regional Australia,Local Road
New England and North West,Tamworth,Outer Regional Australia,Local Road
Brisbane - West,Brisbane,Major Cities of Australia,Local Road
Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,Sub-arterial Road
Murray,Albury,Inner Regional Australia,Sub-arterial Road
Logan - Beaudesert,Scenic Rim,Outer Regional Australia,National or State Highway
New England and North West,Armidale,Outer Regional Australia,Arterial Road
Adelaide - North,Playford,Major Cities of Australia,Collector Road
Moreton Bay - North,Moreton Bay,Major Cities of Australia,Access road
Bendigo,Mount Alexander,Inner Regional Australia,Arterial Road
Sydney - North Sydney and Hornsby,North Sydney,Major Cities of Australia,Local Road
New England and North West,Tamworth,Outer Regional Australia,National or State Highway
Northern Territory - Outback,Roper Gulf,Very Remote Australia,Sub-arterial Road
Brisbane - East,Brisbane,Major Cities of Australia,Local Road
Darling Downs - Maranoa,Western Downs,Inner Regional Australia,National or State Highway
Launceston and North East,Break O'Day,Outer Regional Australia,Collector Road
Sydney - Eastern Suburbs,Woollahra,Major Cities of Australia,Local Road
Adelaide - Central and Hills,Prospect,Major Cities of Australia,Arterial Road
Riverina,Carrathool,Outer Regional Australia,Sub-arterial Road
Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,National or State Highway
Central West,Bland,Outer Regional Australia,Sub-arterial Road
Northern Territory - Outback,MacDonnell,Very Remote Australia,Arterial Road
Cairns,Tablelands,Outer Regional Australia,Local Road
North West,Gannawarra,Outer Regional Australia,Sub-arterial Road
Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Sub-arterial Road
Sydney - Ryde,Parramatta,Major Cities of Australia,Pedestrian Thoroughfare
Hume,Wodonga,Inner Regional Australia,Sub-arterial Road
South East,Southern Midlands,Outer Regional Australia,Local Road
Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Local Road
Ipswich,Lockyer Valley,Inner Regional Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia,Local Road
Murray,Balranald,Remote Australia,Local Road
Cairns,Douglas,Outer Regional Australia,Sub-arterial Road
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Local Road
Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Access road
South Australia - South East,Murray Bridge,Inner Regional Australia,Arterial Road
Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Sub-arterial Road
Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Access road
Queensland - Outback,Mareeba,Remote Australia,Collector Road
Melbourne - West,Maribyrnong,Major Cities of Australia,Local Road
Riverina,Griffith,Outer Regional Australia,Arterial Road
Melbourne - Outer East,Manningham,Major Cities of Australia,Collector Road
Hobart,Brighton,Inner Regional Australia,National or State Highway
Launceston and North East,Northern Midlands,Inner Regional Australia,Sub-arterial Road
North West,Mildura,Remote Australia,Local Road
Queensland - Outback,Cook,Remote Australia,Local Road
Central West,Parkes,Outer Regional Australia,National or State Highway
Launceston and North East,Launceston,Outer Regional Australia,National or State Highway
Brisbane - East,Brisbane,Major Cities of Australia,Collector Road
Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,National or State Highway
Latrobe - Gippsland,Wellington,Outer Regional Australia,National or State Highway
Melbourne - Inner,Port Phillip,Major Cities of Australia,Local Road
Melbourne - West,Hobsons Bay,Major Cities of Australia,Arterial Road
Central West,Weddin,Outer Regional Australia,National or State Highway
Mid North Coast,Nambucca Valley,Outer Regional Australia,Sub-arterial Road
Latrobe - Gippsland,East Gippsland,Outer Regional Australia,National or State Highway
Ballarat,Ballarat,Inner Regional Australia,National or State Highway
Melbourne - North West,Merri-bek,Major Cities of Australia,Local Road
Queensland - Outback,Northern Peninsula Area,Very Remote Australia,Access road
Central West,Cowra,Inner Regional Australia,Sub-arterial Road
Melbourne - North East,Mitchell,Major Cities of Australia,Local Road
Warrnambool and South West,Corangamite,Inner Regional Australia,National or State Highway
Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,National or State Highway
Sydney - Outer South West,Wingecarribee,Inner Regional Australia,Local Road
Richmond - Tweed,Kyogle,Outer Regional Australia,Arterial Road
Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,Local Road
Sydney - Parramatta,Cumberland,Major Cities of Australia,National or State Highway
Warrnambool and South West,Corangamite,Outer Regional Australia,National or State Highway
Latrobe - Gippsland,South Gippsland,Inner Regional Australia,Sub-arterial Road
Northern Territory - Outback,Roper Gulf,Very Remote Australia,National or State Highway
Sydney - Parramatta,Cumberland,Major Cities of Australia,Arterial Road
New England and North West,Tenterfield,Outer Regional Australia,Arterial Road
Darwin,Unincorporated NT,Outer Regional Australia,Arterial Road
Barossa - Yorke - Mid North,Copper Coast,Outer Regional Australia,Sub-arterial Road
Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Sub-arterial Road
Hobart,Clarence,Inner Regional Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Orroroo Carrieton,Outer Regional Australia,Arterial Road
Capital Region,Eurobodalla,Outer Regional Australia,Local Road
Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia,Arterial Road
South Australia - South East,Tatiara,Outer Regional Australia,Collector Road
Northern Territory - Outback,Barkly,Very Remote Australia,Access road
Ballarat,Central Goldfields,Inner Regional Australia,Arterial Road
Central Queensland,Central Highlands (Qld),Remote Australia,National or State Highway
Adelaide - North,Gawler,Major Cities of Australia,Sub-arterial Road
Murray,Federation,Outer Regional Australia,Arterial Road
Sydney - South West,Fairfield,Major Cities of Australia,Busway
Melbourne - North West,Moonee Valley,Major Cities of Australia,Sub-arterial Road
Northern Territory - Outback,Unincorporated NT,Remote Australia,Sub-arterial Road
Northern Territory - Outback,Alice Springs,Remote Australia,National or State Highway
Central Queensland,Livingstone,Inner Regional Australia,Local Road
Far West and Orana,Central Darling,Very Remote Australia,Arterial Road
Darling Downs - Maranoa,Balonne,Remote Australia,National or State Highway
Melbourne - West,Moorabool,Inner Regional Australia,Sub-arterial Road
Northern Territory - Outback,Roper Gulf,Very Remote Australia,Access road
Barossa - Yorke - Mid North,Wakefield,Inner Regional Australia,Sub-arterial Road
Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Local Road
Hume,Murrindindi,Inner Regional Australia,Collector Road
Warrnambool and South West,Corangamite,Inner Regional Australia,Arterial Road
Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,National or State Highway
South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Collector Road
Murray,Greater Hume,Inner Regional Australia,National or State Highway
Hobart,Kingborough,Inner Regional Australia,Collector Road
Sydney - Sutherland,Sutherland,Inner Regional Australia,National or State Highway
Sydney - Inner West,Inner West,Major Cities of Australia,National or State Highway
Central Queensland,Rockhampton,Inner Regional Australia,Sub-arterial Road
Hobart,Clarence,Inner Regional Australia,Collector Road
Darling Downs - Maranoa,Maranoa,Very Remote Australia,Local Road
South Australia - South East,Grant,Outer Regional Australia,Arterial Road
Melbourne - Inner,Merri-bek,Major Cities of Australia,Arterial Road
Melbourne - West,Hobsons Bay,Major Cities of Australia,National or State Highway
Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,National or State Highway
Bendigo,Loddon,Outer Regional Australia,Arterial Road
Far West and Orana,Walgett,Remote Australia,Arterial Road
Melbourne - West,Maribyrnong,Major Cities of Australia,Arterial Road
Riverina,Coolamon,Outer Regional Australia,Arterial Road
Melbourne - South East,Cardinia,Major Cities of Australia,Local Road
Launceston and North East,West Tamar,Outer Regional Australia,Collector Road
Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia,Local Road
Queensland - Outback,Bulloo,Very Remote Australia,Sub-arterial Road
Coffs Harbour - Grafton,Bellingen,Outer Regional Australia,Arterial Road
Murray,Greater Hume,Outer Regional Australia,Arterial Road
Central Queensland,Central Highlands (Qld),Remote Australia,Sub-arterial Road
Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Access road
Warrnambool and South West,Corangamite,Inner Regional Australia,Local Road
Northern Territory - Outback,Central Desert,Very Remote Australia,Access road
Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia,National or State Highway
Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia,Collector Road
Darwin,Litchfield,Outer Regional Australia,National or State Highway
South Australia - Outback,Unincorporated SA,Very Remote Australia,Sub-arterial Road
New England and North West,Walcha,Outer Regional Australia,Local Road
Northern Territory - Outback,MacDonnell,Very Remote Australia,National or State Highway
North West,Northern Grampians,Inner Regional Australia,National or State Highway
West and North West,Latrobe (Tas.),Outer Regional Australia,Sub-arterial Road
Hume,Mitchell,Inner Regional Australia,Arterial Road
Far West and Orana,Bogan,Very Remote Australia,National or State Highway
Brisbane - South,Brisbane,Major Cities of Australia,Access road
Queensland - Outback,Cloncurry,Very Remote Australia,Local Road
Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Local Road
Sydney - Baulkham Hills and Hawkesbury,The Hills,Inner Regional Australia,Collector Road
Latrobe - Gippsland,South Gippsland,Outer Regional Australia,Sub-arterial Road
Mid North Coast,Mid-Coast,Outer Regional Australia,Arterial Road
Launceston and North East,West Tamar,Inner Regional Australia,National or State Highway
Illawarra,Wollondilly,Inner Regional Australia,Arterial Road
Hobart,Sorell,Inner Regional Australia,Collector Road
Central West,Cabonne,Outer Regional Australia,National or State Highway
Sydney - City and Inner South,Bayside (NSW),Major Cities of Australia,Local Road
Adelaide - Central and Hills,Mount Barker,Major Cities of Australia,Collector Road
Sydney - Eastern Suburbs,Woollahra,Major Cities of Australia,Arterial Road
South Australia - Outback,Cleve,Remote Australia,Local Road
Melbourne - North East,Banyule,Major Cities of Australia,Arterial Road
Barossa - Yorke - Mid North,Light,Inner Regional Australia,National or State Highway
North West,Mildura,Outer Regional Australia,Arterial Road
Sydney - Sutherland,Sutherland,Major Cities of Australia,Collector Road
Ballarat,Moorabool,Inner Regional Australia,Access road
West and North West,Burnie,Outer Regional Australia,Sub-arterial Road
West and North West,Central Coast (Tas.),Outer Regional Australia,Local Road
Melbourne - Inner,Melbourne,Major Cities of Australia,Sub-arterial Road
Sydney - Inner West,Burwood,Major Cities of Australia,Local Road
Sunshine Coast,Noosa,Major Cities of Australia,Local Road
Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Arterial Road
Sydney - City and Inner South,Inner West,Major Cities of Australia,Collector Road
Melbourne - South East,Cardinia,Major Cities of Australia,Access road
Capital Region,Hilltops,Outer Regional Australia,Arterial Road
Northern Territory - Outback,Unincorporated NT,Remote Australia,Access road
Northern Territory - Outback,West Arnhem,Remote Australia,Arterial Road
Melbourne - Inner,Yarra,Major Cities of Australia,Sub-arterial Road
Melbourne - Inner South,Glen Eira,Major Cities of Australia,Sub-arterial Road
Barossa - Yorke - Mid North,Port Pirie,Outer Regional Australia,National or State Highway
Central Queensland,Central Highlands (Qld),Outer Regional Australia,Local Road
Murray,Wentworth,Outer Regional Australia,National or State Highway
Murray,Federation,Inner Regional Australia,National or State Highway
Melbourne - North West,Merri-bek,Major Cities of Australia,Arterial Road
Sydney - Parramatta,Canterbury-Bankstown,Major Cities of Australia,Local Road
West and North West,King Island,Very Remote Australia,Arterial Road
Hobart,Glenorchy,Inner Regional Australia,Local Road
Darwin,Palmerston,Outer Regional Australia,Arterial Road
Melbourne - Inner,Port Phillip,Major Cities of Australia,Arterial Road
South Australia - South East,Kangaroo Island,Remote Australia,Local Road
Melbourne - Inner,Merri-bek,Major Cities of Australia,Local Road
New England and North West,Gwydir,Outer Regional Australia,Arterial Road
Melbourne - North East,Whittlesea,Major Cities of Australia,National or State Highway
South Australia - South East,Kangaroo Island,Remote Australia,Sub-arterial Road
Launceston and North East,Meander Valley,Inner Regional Australia,National or State Highway
West and North West,Waratah-Wynyard,Outer Regional Australia,Collector Road
Shepparton,Moira,Inner Regional Australia,Sub-arterial Road
New England and North West,Uralla,Inner Regional Australia,Local Road
Adelaide - South,Holdfast Bay,Major Cities of Australia,Arterial Road
Richmond - Tweed,Tweed,Inner Regional Australia,Sub-arterial Road
Hume,Wodonga,Inner Regional Australia,National or State Highway
Cairns,Douglas,Remote Australia,Collector Road
Bendigo,Greater Bendigo,Inner Regional Australia,Arterial Road
Darwin,Darwin,Outer Regional Australia,Local Road
Murray,Berrigan,Inner Regional Australia,National or State Highway
Townsville,Charters Towers,Outer Regional Australia,National or State Highway
Riverina,Carrathool,Remote Australia,Arterial Road
Capital Region,Eurobodalla,Inner Regional Australia,Arterial Road
West and North West,Devonport,Outer Regional Australia,Arterial Road
North West,Ararat,Outer Regional Australia,Sub-arterial Road
Melbourne - North East,Murrindindi,Inner Regional Australia,Access road
Hume,Strathbogie,Inner Regional Australia,Sub-arterial Road
Central Queensland,Gladstone,Inner Regional Australia,Local Road
Far West and Orana,Bogan,Remote Australia,Sub-arterial Road
Sunshine Coast,Noosa,Inner Regional Australia,Collector Road
Riverina,Junee,Inner Regional Australia,Arterial Road
Melbourne - North East,Murrindindi,Inner Regional Australia,Local Road
Hume,Alpine,Outer Regional Australia,National or State Highway
Far West and Orana,Gilgandra,Outer Regional Australia,Sub-arterial Road
Far West and Orana,Brewarrina,Very Remote Australia,National or State Highway
Sydney - Outer West and Blue Mountains,Wollondilly,Inner Regional Australia,Sub-arterial Road
Northern Territory - Outback,East Arnhem,Very Remote Australia,Sub-arterial Road
South Australia - Outback,Port Lincoln,Remote Australia,Sub-arterial Road
Queensland - Outback,Carpentaria,Very Remote Australia,Collector Road
South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Sub-arterial Road
Adelaide - North,Light,Inner Regional Australia,Sub-arterial Road
Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Local Road
Sydney - South West,Camden,Major Cities of Australia,Local Road
Launceston and North East,Northern Midlands,Outer Regional Australia,Sub-arterial Road
Hobart,Glenorchy,Inner Regional Australia,National or State Highway
Capital Region,Queanbeyan-Palerang,Outer Regional Australia,Arterial Road
Sydney - Eastern Suburbs,Waverley,Major Cities of Australia,Collector Road
Queensland - Outback,Longreach,Very Remote Australia,National or State Highway
Newcastle and Lake Macquarie,Maitland,Major Cities of Australia,National or State Highway
Warrnambool and South West,Colac Otway,Inner Regional Australia,Sub-arterial Road
Warrnambool and South West,Colac Otway,Outer Regional Australia,Arterial Road
South Australia - Outback,Lower Eyre Peninsula,Remote Australia,Local Road
Geelong,Greater Geelong,Major Cities of Australia,Arterial Road
Wide Bay,Gympie,Outer Regional Australia,Sub-arterial Road
Melbourne - North West,Merri-bek,Major Cities of Australia,National or State Highway
Hume,Alpine,Inner Regional Australia,National or State Highway
North West,Northern Grampians,Inner Regional Australia,Arterial Road
Mid North Coast,Mid-Coast,Inner Regional Australia,Local Road
Northern Territory - Outback,MacDonnell,Remote Australia,Arterial Road
Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia,Local Road
Capital Region,Hilltops,Inner Regional Australia,Local Road
Melbourne - Inner East,Whitehorse,Major Cities of Australia,Sub-arterial Road
Bendigo,Loddon,Inner Regional Australia,Sub-arterial Road
Western Australia - Wheat Belt,York,Inner Regional Australia,Arterial Road
Toowoomba,Toowoomba,Inner Regional Australia,Access road
Melbourne - Inner South,Stonnington,Major Cities of Australia,National or State Highway
Gold Coast,Gold Coast,Inner Regional Australia,Access road
Northern Territory - Outback,West Arnhem,Remote Australia,Sub-arterial Road
New England and North West,Inverell,Outer Regional Australia,Local Road
Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Sub-arterial Road
Perth - South West,Rockingham,Major Cities of Australia,Arterial Road
Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Yorke Peninsula,Outer Regional Australia,Arterial Road
Perth - South West,Kwinana,Major Cities of Australia,National or State Highway
Far West and Orana,Dubbo,Inner Regional Australia,Local Road
Mandurah,Murray,Inner Regional Australia,Local Road
Western Australia - Wheat Belt,Dumbleyung,Remote Australia,Arterial Road
Western Australia - Outback (North),Port Hedland,Remote Australia,Local Road
Hobart,Derwent Valley,Inner Regional Australia,Arterial Road
Riverina,Coolamon,Inner Regional Australia,Arterial Road
Hume,Benalla,Inner Regional Australia,Sub-arterial Road
Perth - North West,Stirling,Major Cities of Australia,Local Road
South Australia - South East,Robe,Outer Regional Australia,Arterial Road
Perth - Inner,Cambridge,Major Cities of Australia,National or State Highway
Darling Downs - Maranoa,Maranoa,Outer Regional Australia,Local Road
Illawarra,Shellharbour,Major Cities of Australia,Local Road
Perth - North West,Wanneroo,Major Cities of Australia,National or State Highway
Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,Local Road
Moreton Bay - North,Somerset,Inner Regional Australia,National or State Highway
West and North West,Central Coast (Tas.),Outer Regional Australia,Sub-arterial Road
Murray,Albury,Inner Regional Australia,Local Road
Richmond - Tweed,Richmond Valley,Outer Regional Australia,Local Road
Ballarat,Moorabool,Inner Regional Australia,Local Road
New England and North West,Uralla,Inner Regional Australia,Arterial Road
Perth - South East,Gosnells,Major Cities of Australia,National or State Highway
Western Australia - Wheat Belt,Dandaragan,Outer Regional Australia,National or State Highway
Sydney - Ryde,The Hills,Major Cities of Australia,National or State Highway
Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia,Arterial Road
South East,Southern Midlands,Outer Regional Australia,Sub-arterial Road
Wide Bay,North Burnett,Outer Regional Australia,Local Road
South Australia - South East,Grant,Outer Regional Australia,National or State Highway
Mandurah,Mandurah,Major Cities of Australia,Local Road
Perth - North West,Wanneroo,Major Cities of Australia,Local Road
Murray,Balranald,Remote Australia,National or State Highway
Latrobe - Gippsland,South Gippsland,Outer Regional Australia,National or State Highway
South Australia - South East,Wattle Range,Outer Regional Australia,Arterial Road
Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Local Road
South Australia - South East,Southern Mallee,Outer Regional Australia,Local Road
Warrnambool and South West,Colac Otway,Inner Regional Australia,Local Road
Bendigo,Loddon,Inner Regional Australia,National or State Highway
Western Australia - Wheat Belt,Woodanilling,Outer Regional Australia,Local Road
Central West,Warrumbungle,Outer Regional Australia,National or State Highway
Central West,Forbes,Outer Regional Australia,Sub-arterial Road
Western Australia - Wheat Belt,Dowerin,Outer Regional Australia,Local Road
Western Australia - Outback (South),Kalgoorlie-Boulder,Outer Regional Australia,National or State Highway
Melbourne - North West,Brimbank,Major Cities of Australia,Arterial Road
Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia,Local Road
Launceston and North East,Northern Midlands,Inner Regional Australia,National or State Highway
Bunbury,Harvey,Inner Regional Australia,Local Road
South Australia - South East,Murray Bridge,Inner Regional Australia,Sub-arterial Road
Sydney - Parramatta,Cumberland,Major Cities of Australia,Busway
Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia,Local Road
Perth - North East,Bayswater,Major Cities of Australia,Local Road
Hume,Wangaratta,Inner Regional Australia,National or State Highway
Perth - North East,Swan,Major Cities of Australia,Local Road
Bendigo,Macedon Ranges,Inner Regional Australia,Arterial Road
Queensland - Outback,Doomadgee,Very Remote Australia,Collector Road
Far West and Orana,Narromine,Outer Regional Australia,Local Road
